H	T	d	Uc	L
5.14	5.8	46.91	0.74	64.3912
8.49	5.84	37.33	0.79	65.7589
9.9	5.85	48.08	2.25	79.9096
4.36	5.87	44.31	2.22	80.4192
3.39	5.97	29.67	-1.17	43.3747
3.66	6.02	40.36	0.31	62.1131
1.81	6.02	39.87	-1.05	44.017
3.35	6.06	27.09	-2.18	27.0459
3.01	6.07	26.89	-0.8	49.3419
5.71	6.12	49.54	-1.27	44.5699
2.29	6.16	34.4	-1.91	34.3879
9.45	6.19	41.26	1.31	77.9482
3.51	6.19	48.42	1.84	81.9898
1.33	8.27	31.86	-2.42	60.3496
2.15	8.34	41.34	-2.48	61.7181
3.63	8.56	47.7	-1.94	79.9834
2.18	2.23	25.16	2.43	17.3817
2.42	2.68	30.07	2.48	22.8724
1.74	2.88	30.92	1.37	20.8741
1.98	2.9	49.63	1.66	22.4778
1.51	2.95	41.78	1.82	23.6773
3.52	3.21	39	1.32	24.9088
3.31	3.26	32.37	1.02	23.8301
3.69	3.28	27.37	2.11	29.8127
1.12	3.31	27.61	1.02	23.7483
1.88	3.36	46.92	0.54	22.0675
1.01	3.37	49.05	2.5	32.5648
2.09	3.42	46.18	-0.04	18.6425
2.98	3.49	34.39	0.24	21.743
4.37	3.59	43.93	1.68	32.2942
1.4	3.62	43.85	-0.94	13.372
1.88	3.62	48.73	2.04	34.2815
2.4	3.63	46.57	1.33	30.4145
1.19	3.7	43.76	-0.38	19.2304
3.71	3.74	25.65	2.18	38.1396
3.73	3.82	48.95	1.57	34.4563
2.67	3.88	39.93	1.83	37.5614
5.15	3.94	38.12	1.67	37.9841
1.63	4.05	48.54	-0.38	23.6625
4.85	4.07	38.86	2.44	44.462
2.57	4.1	38.95	0.29	30.2296
1.45	4.12	31.74	-0.26	25.1111
1.58	4.21	32.46	0.41	31.7433
2.01	4.24	15.61	-1.14	18.2006
3.15	4.24	25.71	2.22	46.3289
3.88	4.26	35.02	0.92	36.5965
4.9	4.26	43.71	0.89	37.2104
2.02	4.29	37.41	1.7	42.6513
1.88	4.34	45.25	1.86	44.5606
2.93	4.38	49.52	2.25	48.7595
1.12	4.44	40.56	2.46	50.423
4.02	4.48	30.27	0.33	35.4642
4.78	4.55	46.53	1.8	48.1277
1.95	4.56	49.76	-1.15	22.1884
1.64	4.56	16.51	-1.14	22.2255
6.5	4.58	41.46	1.63	48.7446
2.26	4.63	49.81	-0.03	34.5776
5.37	4.65	37.1	2.26	53.6516
4.24	4.68	28.91	-0.38	32.4289
3.23	4.69	29.77	-0.36	31.8017
3.6	4.75	29.63	1.55	50.6173
1.94	4.84	44.17	-1.79	15.9784
2.62	4.85	43.02	1.93	54.7645
4.37	4.86	44.92	1.51	52.4663
5.61	4.91	49.73	2.4	61.3458
1.39	4.98	45.52	2.12	58.145
4.25	4.99	45.14	-0.78	32.6738
1.46	5.02	36.89	-0.95	29.9254
1.37	5.03	39.38	0.92	48.6416
1.76	5.09	30.97	-0.93	31.4282
7	5.12	38.39	0.61	49.931
7.06	5.18	42.38	2.14	63.7213
2.03	5.24	24.8	-1.21	30.7215
5.14	5.27	26.79	-0.72	37.5339
2.1	5.28	33.66	-0.21	42.2855
1.89	5.29	46.37	-0.49	39.3629
9.86	5.33	48.11	2.3	69.7197
3.78	5.36	48.32	0.19	49.1581
3.2	5.4	40.93	-0.98	36.7262
3.39	5.41	33.89	0.63	54.0066
1.31	5.41	27.6	0.39	50.1188
4.9	5.44	28.28	0.67	56.0323
4.74	5.62	30.45	-0.77	41.964
7.77	5.66	41.82	2.43	80.4781
7.6	5.68	48.74	2.08	78.7502
2.7	5.73	39.58	-0.93	42.0476
8.68	5.77	42.07	2.46	79.4574
